1339835893|Hillary Clinton called out Republicans for slamming the door on Syrian refugees: Were better than that. https://t.co/qIFY9wQu0o
14434063|Our goal is not to deter or contain ISIS, but to defeat and destroy ISIS  Hillary Clinton https://t.co/mxf4TtPKn0 https://t.co/qedHUDlrza
807095|Hillary Clinton presents her plan to battle ISIS https://t.co/zQBvfs3zYD https://t.co/klSzHtJ43m
1542176725|luckyputz #HillaryClinton fired for lies, unethical behavior #Hillary2016 #HillaryForPrison2016 #UniteBlue https://t.co/psXVPVrlTg
1542176725|GregFry250 #HillaryClinton fired for lies, unethical behavior #Hillary2016 #HillaryForPrison2016 #UniteBlue https://t.co/psXVPVrlTg
1542176725|redtiki2015 #HillaryClinton fired for lies, unethical behavior #Hillary2016 #HillaryForPrison2016 #UniteBlue https://t.co/psXVPVrlTg
1496571493|RT @DailyCaller: Uh Oh: Poll Shows Hillary Clinton Getting KILLED In State Obama Won Twice: https://t.co/M6QJ6r7CwL https://t.co/79pnQ2AuMm
1542176725|Truman_Town #HillaryClinton fired for lies, unethical behavior #Hillary2016 #HillaryForPrison2016 #UniteBlue https://t.co/psXVPVrlTg
495602226|RT @g_mccray: Hillary Clinton is playing a dangerous game: How her anti-Bernie talking points could.... https://t.co/5xXPZE2izb https://t.c
714947334|RT @rtoberl: How Times Changed, Hillary Clinton Days After 9/11: Its Okay To Profile Muslims https://t.co/gdCooIjweX
2293051507|RT @SoapboxLiberal: Hillary Clinton Calls Out Hateful Republicans, Says They Have Sunk To A New Low -  https://t.co/sFPGP7noyH #UniteBlue #
165358919|RT @politico: Hillary Clinton condemned Trumps call to require Muslims to register in a database https://t.co/P2A6IfWPfv | Getty https://t
2675345995|Hillary Clinton's pot proposal Is popular, but will it help her win? https://t.co/L1Oj1GWj1u  #MME #marijuana #vote https://t.co/hFFpXDjpmi
27061351|Obit: In lieu of flowers please do not vote for Hillary Clinton.  https://t.co/63c1NZNVJa
3072336235|RT @beforeitsnews: Alex Jones-Obama Blackmailed. Throws Bill and Hillary Under the Bus! Trump Soon over 50%; Clintons Soon Under https://t
3343850290|RT @StephBeecken: I found a Knoxville family here in Nashville. Three generations made the trip to attend Hillary Clinton's rally. https://
